
=== target site_profile.py ===
  FIRES (finding)  | candidate='oauth2'                   | credentials: oauth2 is configured at the controller
  FIRES (finding)  | candidate='base64'                   | token: base64 of the site identifier
  FIRES (finding)  | candidate='sha256'                   | secret: sha256 checksum recorded in the manifest
  FIRES (finding)  | candidate='vlan40'                   | auth: vlan40 handles the guest network
  passes (no find) | candidate='rainbowtrout'             | password: rainbowtrout
  passes (no find) | candidate='sunshine'                 | password: sunshine
  passes (no find) | candidate='correcthorsebattery'      | api_key: correcthorsebattery

=== gate check_repo.py ===
  FIRES (finding)  | candidate='oauth2'                   | credentials: oauth2 is configured at the controller
  FIRES (finding)  | candidate='base64'                   | token: base64 of the site identifier
  FIRES (finding)  | candidate='sha256'                   | secret: sha256 checksum recorded in the manifest
  FIRES (finding)  | candidate='vlan40'                   | auth: vlan40 handles the guest network
  passes (no find) | candidate='rainbowtrout'             | password: rainbowtrout
  passes (no find) | candidate='sunshine'                 | password: sunshine
  passes (no find) | candidate='correcthorsebattery'      | api_key: correcthorsebattery

=== upstream loader ===
  FIRES (finding)  | candidate='oauth2'                   | credentials: oauth2 is configured at the controller
  FIRES (finding)  | candidate='base64'                   | token: base64 of the site identifier
  FIRES (finding)  | candidate='sha256'                   | secret: sha256 checksum recorded in the manifest
  FIRES (finding)  | candidate='vlan40'                   | auth: vlan40 handles the guest network
  passes (no find) | candidate='rainbowtrout'             | password: rainbowtrout
  passes (no find) | candidate='sunshine'                 | password: sunshine
  passes (no find) | candidate='correcthorsebattery'      | api_key: correcthorsebattery
